P1	P2	F1_01	F1_02	F1_03	F1_04	F1_05	F1_06	F1_07	F1_08	F1_09	F1_10	F1_11	F1_12	F1_13	F1_14	F1_15	F1_16	F1_17	F1_18	F1_19	F1_20	F1_21	F1_22	F1_23	F1_24	F1_25	F1_26	F1_27	F1_28	F1_29	F1_30	F1_31	F1_32	F1_33	F1_34	F1_35	F1_36	F1_37	F1_38	F1_39	F1_40	F1_41	F1_42	F1_43	F1_44	F1_45	F1_46	F1_47
Chr10_307802	0	11	3	5	5	4	6	4	7	5	3	5	5	3	2	4	7	5	4	5	5	4	3	3	5	4	6	7	6	3	6	4	3	4	4	7	6	5	2	5	5	6	4	5	5	5	3	4	8
Chr10_350663	0	5	0	3	0	0	0	3	0	0	0	3	0	0	0	2	2	2	0	0	4	4	6	0	1	0	2	3	0	0	2	0	0	2	4	0	2	0	5	3	4	2	4	6	0	0	0	0	1
Chr10_350752	0	14	7	6	8	8	8	8	9	8	6	7	8	5	5	8	9	9	9	9	6	6	7	8	9	10	7	9	9	5	7	9	5	7	7	8	9	9	6	9	7	9	6	5	8	7	4	8	10
Chr10_350950	2	2	2	1	0	0	0	1	1	2	0	8	0	0	0	2	2	3	3	0	4	4	2	5	5	0	1	3	2	0	6	2	4	3	3	1	3	2	10	4	3	6	2	5	3	0	2	1	0
Chr10_373014	0	19	9	9	10	10	9	8	9	9	10	7	8	8	9	7	9	9	9	9	9	9	8	7	9	10	7	9	8	10	9	8	8	7	7	9	7	8	9	9	9	9	8	10	9	10	8	10	10
Chr10_407630	0	2	0	0	0	0	0	1	2	2	3	0	1	2	2	1	1	1	2	1	1	1	3	1	2	1	2	0	0	1	2	0	0	0	3	0	0	2	2	2	0	1	0	2	0	0	0	0	0
Chr10_472186	10	10	19	0	10	10	9	0	16	14	8	8	10	8	10	0	10	0	19	10	0	8	10	18	9	9	0	10	20	9	9	18	19	0	0	0	10	17	10	10	0	8	9	10	20	9	19	18	9
Chr10_479175	0	4	0	6	0	0	0	5	0	0	0	7	0	0	0	5	3	5	0	0	7	7	5	0	5	0	2	5	0	0	3	0	0	4	5	3	2	0	8	5	5	5	6	6	0	0	0	0	1
Chr10_487264	0	8	8	0	8	8	9	0	9	8	8	0	9	9	5	0	0	0	10	9	0	0	0	9	0	8	0	0	10	9	0	8	7	0	0	0	0	8	0	0	0	0	0	0	11	9	9	9	0
Chr10_502161	0	9	5	4	4	5	5	4	3	2	7	7	2	6	8	4	3	4	3	3	2	5	6	4	4	2	2	4	4	5	2	2	7	4	5	3	4	6	7	5	6	3	5	5	5	2	3	2	1
Chr10_510542	9	7	8	6	0	8	0	8	6	9	0	15	0	0	0	9	16	7	7	0	7	17	18	9	15	0	9	15	6	0	16	8	9	9	8	7	17	6	18	13	9	16	18	15	8	0	8	5	14
Chr10_510585	0	17	6	6	7	5	5	6	8	5	6	5	8	6	3	6	7	7	8	4	6	4	6	7	7	5	7	7	8	5	8	6	5	8	6	8	8	6	3	6	8	7	6	8	6	8	5	7	9
Chr10_554776	8	15	19	8	9	7	9	9	15	14	7	17	7	6	5	6	17	6	19	7	9	17	17	16	19	9	8	16	16	8	17	19	17	10	9	10	18	20	17	18	6	10	15	15	18	9	14	16	20
Chr10_595814	0	9	8	0	10	0	10	0	7	9	10	0	9	10	10	0	0	0	9	10	0	0	0	6	0	7	0	0	7	8	0	8	9	0	0	0	0	10	0	0	0	0	0	0	10	8	8	7	0
Chr10_595826	0	18	10	10	9	10	9	8	10	9	10	9	9	9	9	10	8	10	9	10	8	10	8	9	9	10	10	10	9	9	9	10	10	10	10	10	10	9	9	9	10	10	8	9	9	10	9	10	9
Chr10_602831	0	6	0	8	0	6	0	7	0	1	0	8	0	0	0	7	6	9	0	0	6	8	7	0	4	0	6	6	0	0	4	0	0	9	10	5	5	0	9	6	6	8	8	9	0	0	0	0	4
Chr10_608797	0	13	6	8	9	10	7	10	10	7	8	7	7	5	7	6	9	8	8	8	9	7	10	6	9	7	8	10	8	9	10	10	8	9	8	10	9	9	8	7	9	7	10	9	8	8	9	9	8
Chr10_614608	0	10	10	0	10	0	8	0	9	6	10	0	10	10	9	0	0	0	10	10	0	0	0	9	0	9	0	0	8	9	0	9	8	0	0	0	0	9	0	0	0	0	0	0	9	9	10	10	0
Chr10_644558	7	5	6	0	4	0	2	0	11	7	1	3	5	2	2	0	5	0	10	5	0	4	3	7	4	3	0	4	9	3	5	11	4	0	0	0	5	6	3	2	0	0	4	4	6	4	6	10	7
Chr10_644580	0	3	2	0	2	0	2	0	3	2	1	0	1	0	0	0	0	0	1	3	0	0	0	1	0	1	0	0	3	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0
Chr10_646530	2	0	3	0	0	0	0	0	3	1	0	1	0	0	0	0	3	0	3	0	0	3	2	2	3	0	0	3	3	0	5	1	1	0	0	0	2	1	1	3	0	0	2	2	2	0	1	3	5
Chr10_653326	8	10	18	0	8	0	9	0	18	13	8	10	10	9	8	0	6	0	16	8	0	10	7	19	7	8	0	10	19	9	9	16	19	0	0	0	9	18	8	10	0	0	9	10	16	10	17	16	9
Chr10_656196	9	0	9	0	0	0	0	0	10	7	0	9	0	0	0	0	8	0	10	0	0	9	9	8	9	0	0	8	9	0	10	10	10	0	0	8	9	9	10	9	0	0	8	10	9	0	11	8	9
Chr10_660743	2	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	1	0	0	3	2	0	0	0	0	1	1	1	0	0	0	4	0	0	2	0	0
Chr10_660874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chr10_678093	0	11	3	5	2	5	5	5	4	3	3	4	5	3	4	5	4	4	7	4	5	3	4	2	6	6	6	5	6	3	6	5	4	3	3	7	6	2	2	5	4	6	4	4	3	5	1	6	6
Chr10_679128	1	0	1	0	0	0	0	0	2	2	0	2	0	0	0	0	1	0	2	0	0	1	2	4	1	0	0	1	2	0	1	2	1	0	0	0	1	2	5	1	0	0	4	2	2	0	3	0	0
Chr10_691438	8	0	8	0	0	0	0	0	9	9	0	9	1	0	0	0	9	0	8	0	0	7	8	9	7	0	0	7	9	0	5	9	9	0	0	8	10	10	9	7	0	0	7	9	8	0	10	7	7
Chr10_725632	0	7	3	3	1	2	5	4	3	2	2	2	4	0	0	2	3	3	2	4	2	2	3	2	4	2	1	6	3	3	2	2	1	2	2	6	4	2	1	3	3	4	2	3	3	0	2	4	3
Chr10_733781	10	10	7	9	0	10	0	10	9	8	0	17	0	0	0	9	17	9	8	0	9	16	16	9	19	1	7	13	9	0	19	6	8	8	9	16	19	8	20	19	10	8	18	17	9	0	6	10	19
Chr10_749465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chr10_762539	0	8	0	8	0	9	0	7	0	0	0	9	0	0	0	6	7	6	0	0	6	9	8	0	6	0	6	6	0	0	6	0	0	6	9	7	5	0	8	7	9	8	8	8	0	0	0	0	5
Chr10_798192	0	12	4	5	3	6	6	6	7	3	3	3	3	2	2	3	6	6	4	5	5	3	3	4	4	5	5	6	4	2	6	6	2	3	3	5	4	3	2	2	5	6	4	4	5	4	1	5	8
Chr10_804300	0	5	4	0	6	0	7	0	6	5	4	0	7	4	4	0	0	0	6	7	0	0	0	4	0	6	0	0	7	5	0	8	3	0	0	0	0	4	0	0	0	0	0	0	4	8	3	6	0
Chr10_806773	0	6	0	7	0	5	0	6	0	0	0	4	0	0	0	6	6	7	0	0	6	5	7	0	7	0	7	8	0	0	6	0	0	5	4	7	6	0	1	5	6	8	6	5	0	0	0	0	9
Chr10_808630	2	0	0	0	0	0	0	0	2	3	0	6	0	0	0	0	3	0	5	0	0	4	4	2	3	0	0	3	2	0	1	3	6	0	0	3	3	6	5	5	0	0	4	6	4	0	5	1	1
Chr10_828827	1	0	0	0	0	0	0	0	1	3	0	3	0	0	0	0	3	0	1	0	0	3	2	3	0	0	0	2	1	0	0	3	4	0	0	2	2	3	3	1	0	0	4	2	0	0	2	2	0
Chr10_835625	0	1	2	0	2	0	2	0	0	0	4	0	2	4	2	0	0	0	2	1	0	0	0	2	0	1	0	0	3	2	0	1	2	0	0	0	0	2	0	0	0	0	0	0	2	1	3	1	0
Chr10_835628	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	4	3	2	3	0	0	1	0	0	2	2	4	0	0	1	3	2	1	1	0	0	3	0	3	0	0	0	0
Chr10_855298	0	8	0	4	0	8	0	7	0	0	0	7	0	0	0	7	5	9	0	0	7	7	6	0	4	0	6	8	0	0	8	0	0	6	7	6	7	0	8	8	6	6	7	6	0	0	0	0	3
Chr10_859675	0	9	8	0	7	0	8	0	8	9	5	0	8	6	7	0	0	0	8	9	0	0	0	7	0	10	0	0	8	10	0	9	8	0	0	0	0	8	0	0	0	0	0	0	10	9	10	10	0
Chr10_862636	0	6	5	0	6	0	4	0	3	6	4	0	6	5	2	0	0	0	5	5	0	0	0	5	0	4	0	0	6	2	0	6	3	0	0	0	0	1	0	0	0	0	0	0	6	6	2	6	0
Chr10_871192	7	7	6	0	7	0	7	0	15	13	4	4	6	5	1	0	7	0	12	7	0	5	7	13	6	6	0	9	11	7	7	16	11	0	0	9	6	8	5	7	0	0	7	4	14	6	12	14	9
Chr10_880448	3	2	4	0	1	0	0	0	2	5	2	1	1	2	4	0	3	0	7	0	2	1	4	6	1	1	0	0	4	3	1	1	4	0	0	0	3	4	4	0	0	0	0	1	6	0	4	2	0
Chr10_880521	0	15	10	8	9	7	8	8	9	9	10	8	8	8	8	9	7	7	6	7	7	9	6	10	9	8	9	7	7	7	6	8	10	8	9	8	9	9	7	10	8	9	8	8	7	5	8	7	9
Chr10_886868	2	5	0	5	0	3	0	3	3	4	0	12	0	0	0	5	5	5	3	0	0	8	9	4	4	0	6	6	2	0	5	1	7	5	5	6	5	5	16	9	6	5	8	9	5	0	7	2	1
Chr10_892675	0	4	1	3	3	2	3	2	3	5	3	4	3	2	6	3	2	3	2	3	3	5	2	5	3	1	4	3	4	6	1	1	5	4	4	2	1	4	4	4	3	2	3	4	4	2	6	2	1
Chr10_902243	0	4	0	3	0	3	0	1	0	0	0	3	0	0	0	4	3	3	0	0	0	1	2	0	1	0	2	2	0	0	0	0	0	3	4	3	3	0	5	1	2	1	3	4	0	0	0	0	1
Chr10_904455	0	6	2	0	5	0	6	0	6	5	3	0	5	3	4	0	0	0	6	5	6	0	0	3	0	6	0	0	3	4	0	5	1	0	0	0	0	3	0	0	0	0	0	0	4	4	2	7	0
Chr10_913551	4	3	0	4	0	4	0	2	4	4	0	2	0	0	0	2	5	1	4	0	0	6	4	4	4	0	10	3	3	0	6	3	2	1	2	9	9	2	1	2	1	2	8	5	3	0	3	3	8
Chr10_923806	7	0	0	0	0	0	0	0	6	6	0	4	0	0	0	0	8	0	7	0	0	3	6	3	5	0	5	5	5	0	6	5	1	0	0	7	7	4	3	5	0	0	5	4	4	0	4	6	7
Chr10_928183	9	8	0	8	0	8	0	8	9	9	0	15	0	0	0	7	19	5	8	0	0	14	15	10	16	0	18	16	9	0	18	6	7	8	7	17	18	7	16	17	8	8	16	19	7	0	10	9	18
Chr10_985399	0	4	6	0	5	0	6	0	3	6	7	0	5	7	8	0	0	0	4	5	5	0	0	6	0	5	0	0	5	7	0	3	6	0	0	0	0	7	0	0	0	0	0	0	5	4	6	3	0
