P1	P2	F1_01	F1_02	F1_03	F1_04	F1_05	F1_06	F1_07	F1_08	F1_09	F1_10	F1_11	F1_12	F1_13	F1_14	F1_15	F1_16	F1_17	F1_18	F1_19	F1_20	F1_21	F1_22	F1_23	F1_24	F1_25	F1_26	F1_27	F1_28	F1_29	F1_30	F1_31	F1_32	F1_33	F1_34	F1_35	F1_36	F1_37	F1_38	F1_39	F1_40	F1_41	F1_42	F1_43	F1_44	F1_45	F1_46	F1_47
Chr10_487262	17	18	16	18	18	18	17	16	19	17	15	16	17	15	12	17	19	19	19	19	19	20	15	17	16	19	17	17	20	17	20	19	15	20	17	16	20	18	12	18	18	16	19	18	16	17	18	19	20
Chr10_487263	16	17	16	16	18	18	17	15	19	17	14	16	16	15	11	16	19	19	20	17	18	18	12	14	15	18	14	17	20	18	20	19	13	20	16	18	20	18	12	17	19	16	19	19	15	18	16	18	20
Chr10_487264	16	9	8	16	10	10	9	15	10	8	7	16	7	5	9	19	18	17	10	9	18	18	13	7	15	10	17	16	10	9	19	10	7	20	16	18	20	9	11	17	19	17	16	18	5	7	8	8	20
Chr10_502161	4	0	5	3	4	3	3	5	0	4	4	6	4	6	5	5	3	4	3	4	3	5	5	2	0	5	3	3	3	6	2	3	9	5	5	4	2	4	8	6	3	3	4	6	5	3	5	2	3
Chr10_510542	7	9	8	7	17	10	16	7	9	8	19	0	18	19	18	9	0	7	7	18	10	0	0	8	0	16	9	0	9	17	0	9	9	9	10	8	0	9	0	0	9	0	0	0	10	16	8	8	0
Chr10_510583	11	17	12	15	15	10	12	12	16	10	11	11	16	12	11	11	15	13	15	12	13	10	11	13	14	13	14	16	13	12	15	12	10	14	12	18	14	12	9	11	15	14	15	15	15	15	10	18	18
Chr10_510584	12	17	13	14	13	10	13	11	15	11	11	11	16	11	10	12	15	14	14	12	12	10	11	13	14	14	13	16	11	11	16	12	10	13	13	16	14	12	9	10	15	14	14	15	14	15	10	16	18
Chr10_510585	12	0	6	7	7	5	7	6	7	6	4	6	8	5	7	6	7	7	7	7	6	4	5	6	7	7	6	7	5	6	9	6	5	5	7	9	6	6	6	4	7	7	6	7	9	8	5	7	9
Chr10_554773	17	16	20	18	17	17	17	19	17	17	16	19	17	14	12	15	15	14	20	16	18	17	17	20	20	19	17	18	18	18	16	16	18	18	17	19	18	18	16	20	15	18	13	19	18	19	16	15	18
Chr10_554774	18	16	19	18	17	17	16	18	17	17	17	17	18	13	12	15	18	14	20	18	18	16	17	20	19	20	18	16	17	18	15	17	18	18	16	20	18	18	16	20	14	16	13	17	17	18	16	15	20
Chr10_554775	18	17	18	17	17	17	15	19	14	16	16	18	18	15	12	15	17	15	20	16	18	17	17	18	18	20	16	15	14	17	16	18	18	18	18	19	18	20	17	19	15	16	15	15	18	19	15	14	20
Chr10_554776	9	0	0	9	9	8	8	9	0	0	9	0	8	8	8	8	0	9	0	9	9	0	0	0	0	10	9	0	0	7	0	0	0	6	7	9	0	0	0	0	9	7	0	0	0	9	0	0	0
Chr10_573777	1	0	0	0	1	0	1	0	0	2	0	1	2	1	0	3	2	1	1	0	2	0	1	0	2	3	1	1	2	0	0	0	0	0	1	3	1	0	1	0	0	0	3	1	0	0	1	0	1
Chr10_595814	16	10	8	15	9	17	8	19	8	8	10	19	9	9	9	15	13	16	9	9	17	18	17	7	19	6	15	12	6	9	16	8	10	19	17	16	14	7	19	14	14	16	20	16	8	8	8	6	15
Chr10_595826	19	0	9	10	10	10	10	10	10	7	9	10	9	9	9	9	8	9	9	10	9	9	9	10	10	9	10	9	10	9	10	10	10	9	8	10	8	8	9	8	9	10	10	9	10	8	10	8	9
Chr10_595912	2	0	1	2	1	1	2	1	3	2	0	0	2	0	1	2	4	3	2	1	2	1	1	3	1	2	3	3	4	1	1	3	0	0	0	4	4	3	0	3	3	2	0	1	3	2	1	4	2
Chr10_602830	12	14	16	15	16	10	13	14	14	15	16	18	12	15	18	12	13	16	11	18	16	14	12	12	11	11	13	12	13	19	12	14	18	16	17	17	11	17	17	11	14	15	16	17	16	11	17	14	10
Chr10_602831	12	8	18	8	15	6	15	7	14	14	16	9	12	17	17	6	7	5	12	18	10	6	6	13	7	14	7	6	13	19	7	14	14	7	7	9	6	17	8	5	8	7	8	7	17	11	17	10	6
Chr10_608797	17	0	9	9	9	10	10	7	9	8	9	7	8	6	7	8	9	5	8	6	9	8	9	7	9	8	8	8	10	9	7	7	10	7	7	10	8	7	7	9	9	8	8	9	10	9	10	9	8
Chr10_614608	20	10	9	19	9	18	9	17	10	10	8	20	9	8	8	18	17	19	10	10	19	19	19	8	15	10	20	17	10	6	19	9	10	20	16	20	20	7	19	20	19	17	18	20	9	9	10	10	19
Chr10_644558	3	6	0	11	2	6	5	7	0	0	3	5	4	2	2	8	5	8	0	5	9	4	3	0	4	6	8	5	0	3	7	0	0	9	7	11	5	0	2	4	6	9	3	3	0	5	0	0	8
Chr10_644580	6	2	2	4	0	5	1	3	3	1	2	5	1	0	1	4	5	6	2	4	3	4	3	4	4	4	4	6	3	2	5	2	0	3	5	3	5	2	2	3	0	7	3	3	0	2	1	2	10
Chr10_646530	2	6	3	6	4	7	4	9	3	2	2	2	6	2	3	1	6	7	3	7	6	2	1	3	3	6	8	2	5	4	6	1	2	4	5	7	2	1	2	4	5	6	3	4	2	7	1	4	3
Chr10_653324	18	19	18	18	16	17	18	16	18	16	19	19	18	18	17	18	16	17	18	17	17	17	18	18	18	14	15	18	16	19	15	16	18	20	16	17	18	18	17	16	19	18	18	20	15	16	18	15	18
Chr10_653325	16	18	19	19	16	18	17	19	19	15	19	18	17	19	17	19	17	19	18	17	17	17	18	18	17	14	16	18	18	19	18	16	20	20	16	19	18	19	17	16	18	17	16	20	16	16	18	18	19
Chr10_653326	8	10	0	19	9	15	8	20	0	0	10	8	8	10	9	19	9	17	0	9	18	8	10	0	10	6	15	9	0	10	9	0	0	18	16	20	9	0	9	7	16	16	8	10	0	10	0	0	10
Chr10_656196	9	19	10	18	18	20	20	19	10	9	20	9	19	18	20	18	10	19	10	17	17	8	10	7	10	20	17	10	10	20	7	10	10	19	19	10	9	9	10	9	19	19	8	8	10	20	9	10	10
Chr10_660743	1	4	1	2	2	2	1	2	0	0	3	2	2	5	5	2	1	2	0	2	1	1	2	2	1	1	1	0	2	6	1	3	3	3	3	1	1	2	2	0	2	2	2	2	2	2	1	2	0
Chr10_660874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chr10_678093	11	0	6	4	4	4	5	5	7	4	3	3	3	3	2	6	5	3	6	5	4	2	5	6	6	2	5	4	5	4	7	7	2	5	3	6	6	3	1	4	4	4	4	3	5	5	3	6	8
Chr10_679128	1	3	2	3	6	6	4	2	2	3	7	2	2	6	5	4	1	4	4	1	4	2	2	2	2	4	3	2	0	6	1	4	3	5	7	1	1	2	5	1	2	2	1	2	2	4	1	1	0
Chr10_691438	8	15	8	17	17	17	17	15	8	9	18	9	15	18	20	17	8	17	8	15	13	9	7	8	7	16	18	7	8	15	8	9	9	17	17	8	9	9	10	7	14	14	9	6	8	17	8	8	8
Chr10_725632	5	0	1	3	3	3	3	4	2	2	1	1	5	1	1	2	3	3	3	3	3	3	1	0	5	2	4	4	3	1	3	4	1	1	1	3	2	2	1	2	1	4	2	1	4	4	3	4	5
Chr10_733781	10	9	9	7	18	8	19	10	7	10	16	0	17	16	19	9	0	8	8	18	9	0	0	10	0	18	6	0	10	16	0	9	10	8	10	0	0	7	0	0	8	8	0	0	10	20	9	10	0
Chr10_737696	2	1	0	1	1	0	0	3	2	0	0	1	0	0	0	1	1	1	1	0	2	3	1	0	0	0	1	1	0	0	1	2	2	1	3	0	1	0	1	3	0	2	1	2	0	0	2	1	0
Chr10_744873	3	0	2	1	0	0	3	0	1	0	3	3	0	1	4	1	1	2	0	0	1	0	1	2	1	2	1	1	1	0	1	1	0	2	2	1	0	6	1	0	2	1	1	2	0	1	0	1	0
Chr10_749465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chr10_752392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chr10_762539	9	5	17	7	15	5	14	6	13	17	17	8	15	15	17	7	4	6	11	12	5	7	7	18	4	13	7	6	11	19	5	14	17	6	7	6	9	14	9	8	6	8	9	8	16	11	14	12	4
Chr10_798192	11	0	4	6	3	5	6	3	5	5	3	2	4	4	2	6	6	5	6	6	5	4	4	6	5	5	5	3	4	2	6	6	2	3	4	6	6	3	1	5	5	6	4	6	4	4	4	7	7
Chr10_804300	14	5	6	11	4	11	7	9	7	7	1	6	7	2	2	9	14	11	6	5	8	8	10	5	10	4	14	10	6	3	11	5	4	11	8	12	12	2	6	12	11	13	11	7	6	6	4	7	17
Chr10_806773	12	6	9	5	14	4	13	4	13	9	8	3	12	15	4	4	7	5	13	12	5	5	6	9	5	13	6	6	14	7	6	12	7	5	4	6	6	11	2	7	7	6	5	5	11	11	8	16	9
Chr10_808630	2	6	9	6	14	8	6	4	4	3	10	5	6	9	11	8	2	8	4	5	7	3	4	4	4	6	2	2	3	6	1	2	6	7	7	2	2	4	6	4	8	7	4	3	2	7	5	4	0
Chr10_828827	3	3	6	4	7	5	5	2	1	3	6	3	5	4	7	4	0	5	2	7	7	6	3	3	2	4	3	3	0	6	1	2	4	4	6	2	3	3	6	3	5	3	2	3	5	3	3	1	0
Chr10_835625	2	1	3	6	3	3	3	2	1	1	3	4	0	1	2	4	3	2	1	2	5	7	4	2	5	2	2	1	0	0	1	2	4	3	6	1	5	2	5	5	1	0	3	1	2	0	0	0	0
Chr10_835628	1	3	6	6	5	3	6	3	0	0	7	3	2	8	5	5	3	3	3	5	5	3	3	2	2	3	3	0	3	2	0	1	3	3	7	0	2	2	4	4	2	0	2	2	2	2	4	1	0
Chr10_855298	13	8	13	7	15	5	11	8	12	16	18	7	13	15	18	7	4	6	16	12	7	9	8	13	7	12	6	6	13	16	4	14	16	7	8	9	7	16	8	8	7	6	8	9	13	14	16	8	4
Chr10_859674	16	17	15	18	13	18	18	16	15	18	16	16	15	13	14	17	16	15	17	18	19	16	15	18	18	18	16	20	16	18	20	19	15	15	15	19	17	14	16	17	16	18	13	18	17	17	17	18	19
Chr10_859675	14	8	7	18	9	18	10	15	7	9	8	14	9	7	6	16	18	15	9	9	19	16	15	9	18	8	18	20	7	8	20	10	8	14	15	19	17	7	14	16	13	18	13	18	7	8	7	8	18
Chr10_862636	14	4	4	10	6	9	4	10	6	7	4	6	4	4	1	12	13	10	7	6	11	8	10	4	9	4	11	8	5	2	14	4	3	8	7	14	12	4	5	11	9	10	9	8	4	6	3	7	15
Chr10_871192	7	6	6	10	7	12	6	12	0	0	4	3	6	3	4	11	9	12	0	6	13	5	6	0	6	7	12	6	0	3	9	0	0	9	14	6	7	0	3	7	14	12	7	4	0	6	0	0	9
Chr10_880448	0	1	4	2	1	5	1	2	0	0	2	2	1	6	2	6	1	2	0	2	2	1	3	0	0	1	3	2	0	1	2	0	0	4	3	1	1	0	1	3	4	2	1	2	0	1	0	0	1
Chr10_880521	17	0	8	6	8	8	9	10	8	8	9	8	10	9	9	8	9	9	8	9	8	9	8	9	6	7	6	7	8	10	7	10	9	7	8	6	6	9	9	9	7	8	9	10	9	9	9	9	5
Chr10_886868	0	4	9	4	8	5	8	5	2	5	12	0	6	8	13	4	0	6	4	6	9	0	0	4	0	6	0	0	3	8	0	3	5	5	6	0	0	4	0	0	4	4	0	0	5	9	5	1	0
Chr10_892675	3	0	3	3	5	3	2	3	1	3	5	4	4	5	3	3	0	2	1	3	3	4	3	2	2	3	4	3	2	6	2	2	4	2	5	0	3	4	5	1	3	2	4	5	3	1	4	0	0
Chr10_902243	4	3	4	1	7	1	3	3	1	1	11	3	5	7	7	3	2	1	1	2	4	2	4	7	2	4	3	2	4	7	0	4	7	3	3	3	4	4	3	2	3	3	3	2	7	2	8	5	0
Chr10_904455	9	5	5	10	3	12	4	10	6	4	1	6	4	4	2	9	12	8	7	5	4	7	7	3	10	5	12	11	6	3	13	5	1	11	7	14	9	3	5	9	9	11	9	8	4	5	1	7	16
Chr10_913551	6	4	4	4	2	3	4	5	5	1	5	0	9	5	3	2	0	4	2	3	7	0	0	4	0	8	0	0	1	4	0	3	0	1	0	0	0	1	0	0	3	4	0	0	2	6	2	6	0
Chr10_923806	7	10	9	11	10	11	14	10	6	5	7	3	12	5	7	10	5	9	6	10	9	4	5	4	4	10	8	6	7	6	8	6	3	9	11	7	6	2	2	6	8	11	5	3	4	13	4	7	8
Chr10_928183	9	7	14	10	14	8	14	7	9	6	12	0	16	17	15	8	0	6	8	19	15	0	0	7	0	16	0	0	9	15	0	6	6	10	7	0	0	8	0	0	6	8	0	0	9	16	7	8	0
Chr10_928184	17	15	15	18	14	14	14	15	18	15	10	15	17	15	14	13	19	10	16	19	15	13	16	16	18	15	18	16	17	15	17	13	13	17	14	18	17	15	16	17	14	14	15	18	17	16	13	16	19
Chr10_928185	16	16	15	17	13	16	16	13	18	15	14	15	16	15	14	12	19	10	15	19	15	11	17	16	18	17	18	16	15	14	19	14	12	17	14	17	17	14	18	15	13	14	15	17	16	14	13	17	18
Chr10_928186	16	16	14	16	13	16	15	14	17	14	14	15	16	16	15	10	19	11	16	19	14	14	15	17	18	16	19	15	18	14	19	14	13	15	14	16	17	14	18	14	13	14	15	15	16	14	11	16	18
Chr10_928187	17	16	14	17	12	16	15	14	17	15	14	14	17	14	13	11	18	12	16	19	13	13	15	16	18	17	19	15	18	12	17	15	12	15	13	17	17	14	17	12	13	14	15	16	16	13	12	15	17
Chr10_985399	6	5	6	8	8	11	5	7	3	4	7	15	3	8	9	10	9	11	5	4	6	12	9	7	9	5	10	10	3	5	7	6	8	11	11	8	6	8	13	8	10	9	10	11	5	6	8	5	3
